stype, stype2, 1 - stype - stype2 
0.00000000, 0.00000000, 0.00000000
281.43297223, 226.93046379, 175.14297185
285.45701892, 230.72251366, 178.50403941
287.97279075, 233.09715402, 180.61936006
289.84246265, 234.86372597, 182.19807468
291.34680998, 236.28613581, 183.47232972
292.61430979, 237.48524974, 184.54870069
293.71497446, 238.52697856, 185.48540653
294.69135035, 239.45139903, 186.31789565
295.57131023, 240.28477883, 187.06942844
296.37414929, 241.04530965, 187.75612948
297.11380173, 241.74613371, 188.38965745
297.80067300, 242.39706828, 188.97872794
298.44274780, 243.00564900, 189.53003544
299.04629292, 243.57779185, 190.04883874
299.61632122, 244.11823023, 190.53934784
300.15690814, 244.63081329, 191.00498797
300.67141378, 245.11871524, 191.44858515
301.16264260, 245.58458592, 191.87249959
301.63296068, 246.03066139, 192.27872378
302.08438344, 246.45884665, 192.66895588
302.51864235, 246.87077857, 193.04465560
302.93723641, 247.26787449, 193.40708731
303.34147241, 247.65137018, 193.75735378
303.73249678, 248.02234993, 194.09642292
304.11132108, 248.38177060, 194.42514915
304.47884258, 248.73048102, 194.74429067
304.83586105, 249.06923791, 195.05452357
305.18309250, 249.39871883, 195.35645337
305.52118071, 249.71953300, 195.65062470
305.85070662, 250.03223028, 195.93752923
306.17219643, 250.33730877, 196.21761244
306.48612832, 250.63522113, 196.49127930
306.79293819, 250.92638005, 196.75889908
307.09302454, 251.21116287, 197.02080952
307.38675273, 251.48991554, 197.27732031
307.67445854, 251.76295605, 197.52871618
307.95645136, 252.03057743, 197.77525958
308.23301691, 252.29305030, 198.01719292
308.50441960, 252.55062513, 198.25474060
308.77090468, 252.80353423, 198.48811082
309.03270001, 253.05199347, 198.71749707
309.29001771, 253.29620384, 198.94307951
309.54305561, 253.53635278, 199.16502622
309.79199849, 253.77261538, 199.38349425
310.03701927, 254.00515551, 199.59863054
310.27827996, 254.23412670, 199.81057286
310.51593259, 254.45967306, 200.01945050
310.75012005, 254.68193000, 200.22538500
310.98097680, 254.90102497, 200.42849075
311.20862949, 255.11707804, 200.62887556
311.43319764, 255.33020251, 200.82664113
311.65479412, 255.54050537, 201.02188356
311.87352563, 255.74808779, 201.21469374
312.08949319, 255.95304556, 201.40515769
312.30279253, 256.15546943, 201.59335696
312.51351443, 256.35544550, 201.77936892
312.72174509, 256.55305549, 201.96326703
312.92756642, 256.74837709, 202.14512112
313.13105635, 256.94148420, 202.32499762
313.33228905, 257.13244716, 202.50295980
313.53133519, 257.32133301, 202.67906793
313.72826218, 257.50820567, 202.85337952
313.92313433, 257.69312615, 203.02594945
314.11601307, 257.87615273, 203.19683014
314.30695712, 258.05734109, 203.36607173
314.49602263, 258.23674451, 203.53372214
314.68326335, 258.41441397, 203.69982729
314.86873075, 258.59039831, 203.86443113
315.05247417, 258.76474435, 204.02757582
315.23454093, 258.93749696, 204.18930177
315.41497642, 259.10869923, 204.34964780
315.59382422, 259.27839251, 204.50865114
315.77112623, 259.44661654, 204.66634762
315.94692269, 259.61340952, 204.82277164
316.12125233, 259.77880819, 204.97795633
316.29415238, 259.94284790, 205.13193354
316.46565874, 260.10556269, 205.28473396
316.63580594, 260.26698537, 205.43638717
316.80462729, 260.42714752, 205.58692165
316.97215490, 260.58607962, 205.73636490
317.13841973, 260.74381107, 205.88474344
317.30345169, 260.90037025, 206.03208285
317.46727963, 261.05578455, 206.17840786
317.62993144, 261.21008042, 206.32374235
317.79143405, 261.36328345, 206.46810940
317.95181351, 261.51541837, 206.61153134
318.11109502, 261.66650907, 206.75402974
318.26930294, 261.81657870, 206.89562551
318.42646086, 261.96564966, 207.03633886
318.58259162, 262.11374362, 207.17618939
318.73771736, 262.26088159, 207.31519607
318.89185950, 262.40708393, 207.45337729
319.04503883, 262.55237037, 207.59075088
319.19727549, 262.69676003, 207.72733412
319.34858904, 262.84027147, 207.86314380
319.49899843, 262.98292270, 207.99819618
319.64852207, 263.12473119, 208.13250708
319.79717783, 263.26571392, 208.26609183
319.94498307, 263.40588736, 208.39896535
320.09195464, 263.54526753, 208.53114211
320.23810894, 263.68386997, 208.66263620
320.38346189, 263.82170983, 208.79346130
320.52802898, 263.95880181, 208.92363072
320.67182528, 264.09516021, 209.05315741
320.81486543, 264.23079895, 209.18205397
320.95716370, 264.36573158, 209.31033266
321.09873398, 264.49997128, 209.43800542
321.23958978, 264.63353088, 209.56508388
321.37974426, 264.76642290, 209.69157936
321.51921024, 264.89865950, 209.81750289
321.65800024, 265.03025257, 209.94286523
321.79612641, 265.16121365, 210.06767687
321.93360063, 265.29155404, 210.19194801
322.07043449, 265.42128473, 210.31568863
322.20663927, 265.55041644, 210.43890844
322.34222598, 265.67895962, 210.56161694
322.47720536, 265.80692450, 210.68382338
322.61158792, 265.93432104, 210.80553680
322.74538388, 266.06115895, 210.92676600
322.87860324, 266.18744773, 211.04751962
323.01125576, 266.31319666, 211.16780606
323.14335098, 266.43841479, 211.28763355
323.27489821, 266.56311098, 211.40701010
323.40590654, 266.68729386, 211.52594357
323.53638489, 266.81097189, 211.64444163
323.66634193, 266.93415333, 211.76251178
323.79578618, 267.05684625, 211.88016135
323.92472593, 267.17905856, 211.99739751
324.05316933, 267.30079798, 212.11422727
324.18112433, 267.42207205, 212.23065751
324.30859870, 267.54288818, 212.34669493
324.43560006, 267.66325360, 212.46234611
324.56213586, 267.78317540, 212.57761748
324.68821340, 267.90266049, 212.69251533
324.81383982, 268.02171567, 212.80704584
324.93902210, 268.14034758, 212.92121504
325.06376710, 268.25856273, 213.03502885
325.18808153, 268.37636749, 213.14849306
325.31197196, 268.49376811, 213.26161335
325.43544482, 268.61077071, 213.37439528
325.55850642, 268.72738128, 213.48684429
325.68116296, 268.84360570, 213.59896575
325.80342048, 268.95944973, 213.71076488
325.92528494, 269.07491902, 213.82224681
326.04676215, 269.19001911, 213.93341659
326.16785784, 269.30475542, 214.04427916
326.28857761, 269.41913328, 214.15483935
326.40892695, 269.53315793, 214.26510193
326.52891126, 269.64683447, 214.37507154
326.64853583, 269.76016795, 214.48475278
326.76780585, 269.87316330, 214.59415012
326.88672642, 269.98582537, 214.70326798
327.00530253, 270.09815890, 214.81211068
327.12353910, 270.21016856, 214.92068246
327.24144096, 270.32185895, 215.02898749
327.35901283, 270.43323455, 215.13702987
327.47625935, 270.54429979, 215.24481362
327.59318511, 270.65505901, 215.35234269
327.70979458, 270.76551647, 215.45962094
327.82609216, 270.87567636, 215.56665220
327.94208219, 270.98554280, 215.67344021
328.05776892, 271.09511982, 215.77998864
328.17315652, 271.20441141, 215.88630110
328.28824910, 271.31342147, 215.99238116
328.40305071, 271.42215383, 216.09823229
328.51756531, 271.53061227, 216.20385793
328.63179679, 271.63880051, 216.30926146
328.74574900, 271.74672218, 216.41444619
328.85942571, 271.85438088, 216.51941537
328.97283063, 271.96178014, 216.62417222
329.08596740, 272.06892342, 216.72871989
329.19883962, 272.17581414, 216.83306148
329.31145081, 272.28245565, 216.93720005
329.42380444, 272.38885126, 217.04113858
329.53590394, 272.49500422, 217.14488003
329.64775267, 272.60091772, 217.24842731
329.75935392, 272.70659493, 217.35178327
329.87071097, 272.81203892, 217.45495073
329.98182700, 272.91725276, 217.55793245
330.09270519, 273.02223943, 217.66073115
330.20334863, 273.12700191, 217.76334952
330.31376038, 273.23154309, 217.86579019
330.42394345, 273.33586585, 217.96805575
330.53390080, 273.43997300, 218.07014878
330.64363536, 273.54386732, 218.17207177
330.75314999, 273.64755155, 218.27382721
330.86244754, 273.75102837, 218.37541753
330.97153078, 273.85430046, 218.47684515
331.08040246, 273.95737042, 218.57811242
331.18906529, 274.06024082, 218.67922168
331.29752194, 274.16291422, 218.78017523
331.40577504, 274.26539310, 218.88097531
331.51382716, 274.36767993, 218.98162416
331.62168087, 274.46977715, 219.08212397
331.72933868, 274.57168714, 219.18247690
331.83680306, 274.67341227, 219.28268508
331.94407646, 274.77495487, 219.38275061
332.05116128, 274.87631722, 219.48267555
332.15805990, 274.97750160, 219.58246194
332.26477466, 275.07851021, 219.68211178
332.37130786, 275.17934528, 219.78162706
332.47766178, 275.28000896, 219.88100972
332.58383867, 275.38050339, 219.98026169
332.68984072, 275.48083068, 220.07938484
332.79567013, 275.58099291, 220.17838106
332.90132905, 275.68099213, 220.27725218
333.00681960, 275.78083036, 220.37600001
333.11214387, 275.88050960, 220.47462634
333.21730392, 275.98003182, 220.57313293
333.32230180, 276.07939896, 220.67152152
333.42713951, 276.17861293, 220.76979382
333.53181903, 276.27767564, 220.86795152
333.63634233, 276.37658894, 220.96599628
333.74071133, 276.47535468, 221.06392974
333.84492794, 276.57397467, 221.16175353
333.94899403, 276.67245072, 221.25946924
334.05291147, 276.77078458, 221.35707844
334.15668208, 276.86897801, 221.45458268
334.26030767, 276.96703274, 221.55198350
334.36379003, 277.06495047, 221.64928241
334.46713091, 277.16273288, 221.74648089
334.57033206, 277.26038163, 221.84358041
334.67339520, 277.35789837, 221.94058242
334.77632201, 277.45528471, 222.03748835
334.87911417, 277.55254224, 222.13429961
334.98177334, 277.64967256, 222.23101759
335.08430114, 277.74667722, 222.32764366
335.18669918, 277.84355776, 222.42417917
335.28896907, 277.94031570, 222.52062546
335.39111236, 278.03695254, 222.61698384
335.49313061, 278.13346978, 222.71325561
335.59502536, 278.22986887, 222.80944205
335.69679812, 278.32615127, 222.90554443
